x	Exact	Y_h	Y_h2	Error_h	Error_h2	Order
0.00	0.50000000	0.50000000	0.50000000	0.00e+00	0.00e+00	NaN
0.20	0.82929862	0.82888860	0.82919667	4.10e-04	1.02e-04	2.01
0.40	1.21408765	1.21308580	1.21383859	1.00e-03	2.49e-04	2.01
0.60	1.64894060	1.64710464	1.64848426	1.84e-03	4.56e-04	2.01
0.80	2.12722954	2.12423880	2.12648630	2.99e-03	7.43e-04	2.01
1.00	2.64085909	2.63629172	2.63972426	4.57e-03	1.13e-03	2.01
1.20	3.17994154	3.17324534	3.17827811	6.70e-03	1.66e-03	2.01
1.40	3.73240002	3.72285538	3.73002950	9.54e-03	2.37e-03	2.01
1.60	4.28348379	4.27015663	4.28017454	1.33e-02	3.31e-03	2.01
1.80	4.81517627	4.79685825	4.81062873	1.83e-02	4.55e-03	2.01
2.00	5.30547195	5.28060481	5.29929992	2.49e-02	6.17e-03	2.01
